user_id,anonymized_id,trade,skill_level,age,location_type,primary_language,secondary_languages,registration_date,active_days,total_courses_completed,avg_session_duration_minutes,preferred_learning_time,device_type,network_quality,privacy_consent,data_sharing_consent
USER_00035,2bc0fe983d6fb94d,homestay_owner,intermediate,41,urban,gu,[],2025-08-28T18:57:17.040863,26,23,39,evening,ios,poor,True,False
USER_00036,547dd51521ac3798,artisan,beginner,19,urban,ta,"[np.str_('ta'), np.str_('en')]",2025-10-22T18:57:17.041471,50,12,35,morning,android,good,True,False
USER_00037,f099a0c03869169b,mason,beginner,57,urban,gu,[],2025-04-04T18:57:17.041864,51,6,24,night,web,poor,True,True
USER_00038,ad864d5778dcf9a0,homestay_owner,beginner,25,semi-urban,te,[],2025-03-25T18:57:17.042315,82,13,22,morning,ios,moderate,True,False
USER_00039,dffd2e734e405fb9,welder,advanced,46,urban,kn,[np.str_('te')],2025-03-07T18:57:17.042761,20,30,28,afternoon,web,moderate,True,False
USER_00040,21f302905ce886d0,homestay_owner,expert,52,semi-urban,ml,[],2025-05-28T18:57:17.043191,74,37,41,night,web,moderate,True,True
USER_00041,867fac1dcd804caf,mobile_repair,beginner,50,rural,pa,"[np.str_('pa'), np.str_('gu')]",2025-11-20T18:57:17.043497,24,20,5,evening,ios,poor,True,True
USER_00042,5bcf7b954ee67499,homestay_owner,beginner,51,urban,pa,[],2026-01-09T18:57:17.043737,17,0,41,morning,web,moderate,True,True
USER_00043,317d84b792f3e38f,carpenter,intermediate,61,rural,te,[np.str_('te')],2025-02-20T18:57:17.043958,62,9,51,night,ios,poor,True,False
USER_00044,e5a8c522ab032c9f,mobile_repair,beginner,40,urban,mr,"[np.str_('te'), np.str_('ml')]",2025-07-03T18:57:17.044321,59,44,5,morning,ios,moderate,True,False
USER_00045,7052c1d8cf35dd4a,plumber,intermediate,42,rural,kn,"[np.str_('bn'), np.str_('en')]",2025-04-20T18:57:17.044592,3,2,36,afternoon,android,good,True,False
USER_00046,d5d38d1f5c1e3a75,homestay_owner,beginner,28,rural,en,[np.str_('ta')],2025-09-21T18:57:17.045470,13,1,11,morning,android,moderate,True,True
USER_00047,3b23a386b24a03b3,farmer,expert,52,semi-urban,pa,[],2025-08-04T18:57:17.046251,74,12,24,afternoon,ios,poor,True,False
USER_00048,d286021aa025bb47,farmer,intermediate,47,urban,te,"[np.str_('mr'), np.str_('hi')]",2025-03-07T18:57:17.047800,28,38,8,afternoon,ios,moderate,True,False
USER_00049,fd0dd0848d68a79f,mobile_repair,intermediate,39,semi-urban,ml,[np.str_('ml')],2025-12-16T18:57:17.048076,53,3,51,afternoon,web,poor,True,False
USER_00050,5f030387f41cf497,mobile_repair,advanced,18,rural,kn,"[np.str_('kn'), np.str_('en')]",2025-07-19T18:57:17.048317,78,30,46,afternoon,ios,moderate,True,True
USER_00051,8f20ee697ea8e118,electrician,expert,20,rural,hi,"[np.str_('en'), np.str_('en')]",2026-01-11T18:57:17.048564,58,36,49,afternoon,web,moderate,True,False
USER_00052,809eba3ec37ee15a,welder,intermediate,30,rural,mr,[],2025-06-02T18:57:17.048767,77,29,50,morning,android,moderate,True,False
USER_00053,3e8867d726cfe808,farmer,expert,28,semi-urban,pa,[np.str_('ml')],2025-09-18T18:57:17.049249,62,19,5,night,web,moderate,True,False
USER_00054,160f3beb96f60b3e,welder,intermediate,62,rural,mr,[np.str_('gu')],2025-05-09T18:57:17.049473,49,22,57,evening,web,good,True,False
USER_00055,987379fe47f2603a,carpenter,expert,49,urban,kn,[],2025-10-17T18:57:17.049671,37,5,17,night,web,moderate,True,False
USER_00056,de2cf32553d71a45,homestay_owner,intermediate,19,urban,pa,[np.str_('ml')],2025-07-29T18:57:17.049884,77,47,6,night,web,poor,True,False
USER_00057,652e4e7ab2df403b,mason,advanced,31,urban,en,"[np.str_('bn'), np.str_('ml')]",2025-04-18T18:57:17.051888,49,19,58,morning,ios,moderate,True,False
USER_00058,cf90b900d0a1b367,homestay_owner,beginner,61,semi-urban,kn,[],2025-08-17T18:57:17.052447,39,46,57,afternoon,ios,poor,True,True
USER_00059,f516d52c9f51cdd0,electrician,intermediate,48,rural,ml,[],2025-07-01T18:57:17.052992,71,28,23,night,android,good,True,False
USER_00060,eec00b89a12437dd,plumber,advanced,32,urban,bn,[],2025-07-02T18:57:17.057305,85,39,31,night,android,moderate,True,False
USER_00061,cb44e72972b136d3,homestay_owner,beginner,30,urban,kn,[np.str_('bn')],2025-02-23T18:57:17.057818,63,18,31,afternoon,web,poor,True,False
USER_00062,af0af7c51f46eaeb,plumber,beginner,49,rural,pa,[],2025-08-31T18:57:17.058300,74,41,20,evening,web,good,True,True
USER_00063,5d253ae6b33f44cd,mason,expert,23,rural,kn,[np.str_('pa')],2025-08-27T18:57:17.058684,33,9,6,night,android,poor,True,True
USER_00064,857896237c872cb0,artisan,intermediate,54,semi-urban,mr,[np.str_('mr')],2025-08-23T18:57:17.059534,80,20,48,night,android,moderate,True,True
USER_00065,c6def6e4a63f9a5d,farmer,advanced,38,urban,bn,[],2025-02-24T18:57:17.060091,7,15,46,morning,web,poor,True,False
USER_00066,ec55cb549b497d15,artisan,expert,27,rural,hi,[],2025-02-16T18:57:17.060599,68,25,45,afternoon,web,good,True,True
USER_00067,627920c47c2075b6,artisan,expert,45,semi-urban,ta,[],2026-01-24T18:57:17.061398,68,3,37,night,web,good,True,False
USER_00068,1d7197bedfecc7f1,welder,advanced,24,urban,kn,[np.str_('te')],2025-06-14T18:57:17.061836,4,9,36,afternoon,android,good,True,False
USER_00069,615a7cfb96ce1f9e,artisan,expert,25,urban,gu,"[np.str_('ta'), np.str_('ml')]",2025-12-26T18:57:17.062291,3,5,55,morning,ios,moderate,True,True
USER_00070,0a1fc7233099ccfc,farmer,intermediate,23,urban,hi,[np.str_('en')],2025-06-20T18:57:17.062691,77,20,18,afternoon,web,moderate,True,True
USER_00071,860cbc75d2e1bd11,carpenter,expert,38,rural,pa,"[np.str_('gu'), np.str_('ta')]",2025-03-04T18:57:17.063130,44,10,10,night,ios,poor,True,False
USER_00072,7c3fded08f5a713c,farmer,beginner,62,rural,mr,"[np.str_('en'), np.str_('pa')]",2026-01-18T18:57:17.063571,3,4,33,night,web,moderate,True,True
USER_00073,e308570ec8c74cbd,mobile_repair,beginner,44,urban,pa,[np.str_('en')],2026-02-05T18:57:17.063968,25,39,16,afternoon,web,poor,True,True
USER_00074,fe24c8ab7638f7d8,artisan,advanced,46,semi-urban,gu,"[np.str_('gu'), np.str_('kn')]",2025-11-14T18:57:17.064394,89,13,20,night,ios,poor,True,True
USER_00075,de48cbe849d4d8f3,appliance_repair,beginner,58,urban,te,[],2025-09-26T18:57:17.064752,44,46,23,night,android,moderate,True,True
USER_00076,679d65bbbc877d0d,artisan,expert,47,semi-urban,ta,[np.str_('ml')],2025-12-10T18:57:17.065154,61,11,23,night,web,moderate,True,True
USER_00077,c2822e5da3d44d4e,welder,advanced,25,semi-urban,bn,[np.str_('pa')],2025-12-12T18:57:17.065551,26,27,32,morning,android,poor,True,False
USER_00078,28955d0bd180667e,artisan,beginner,52,semi-urban,hi,[np.str_('bn')],2025-04-24T18:57:17.065945,68,34,47,morning,web,moderate,True,True
USER_00079,2bc1e69f33e20c88,artisan,intermediate,18,urban,ml,[np.str_('hi')],2025-12-28T18:57:17.066342,84,17,59,morning,ios,good,True,True
USER_00080,2f5debae53c22cc8,farmer,advanced,48,semi-urban,gu,"[np.str_('te'), np.str_('hi')]",2025-12-30T18:57:17.066792,13,27,33,morning,ios,good,True,False
USER_00081,ce5a5521a91fc040,plumber,beginner,21,semi-urban,pa,"[np.str_('ta'), np.str_('te')]",2025-03-24T18:57:17.067728,83,38,10,night,android,moderate,True,False
USER_00082,2335a306a50041b7,artisan,intermediate,28,rural,bn,[],2025-07-16T18:57:17.070850,24,9,36,evening,android,poor,True,True
USER_00083,be6d472d0dc7e0d8,electrician,beginner,47,semi-urban,kn,"[np.str_('ml'), np.str_('gu')]",2025-05-16T18:57:17.072823,13,11,30,night,ios,moderate,True,True
USER_00084,121a3e3d4d21789d,farmer,advanced,55,rural,ta,[np.str_('ml')],2025-05-13T18:57:17.075522,78,20,20,night,android,moderate,True,True
USER_00085,1302da6a1d4b5a58,mason,expert,41,rural,te,[],2025-06-15T18:57:17.076199,60,48,36,night,ios,good,True,False
USER_00086,83cdb84caba8cc59,appliance_repair,beginner,40,rural,ta,"[np.str_('bn'), np.str_('ta')]",2025-08-30T18:57:17.076737,79,33,44,night,android,poor,True,False
USER_00087,feec4c0e05df637b,welder,beginner,32,urban,mr,[],2025-05-14T18:57:17.077223,58,9,54,night,ios,good,True,True
USER_00088,6d284c230b642ef1,mason,beginner,26,semi-urban,te,"[np.str_('kn'), np.str_('pa')]",2025-02-19T18:57:17.078018,89,26,52,morning,ios,moderate,True,True
USER_00089,784378b7a35a199a,plumber,advanced,30,semi-urban,en,[],2025-03-27T18:57:17.078748,67,28,26,night,web,poor,True,True
USER_00090,265f2ecc3287adad,plumber,intermediate,21,urban,hi,"[np.str_('ml'), np.str_('te')]",2025-03-05T18:57:17.079160,14,42,11,afternoon,web,good,True,True
USER_00091,180233b28e1ff80b,homestay_owner,beginner,64,urban,bn,[],2025-11-03T18:57:17.079374,46,5,36,morning,android,good,True,False
USER_00092,b55c6e385670b155,artisan,advanced,62,urban,hi,"[np.str_('bn'), np.str_('mr')]",2026-01-01T18:57:17.079618,1,27,44,morning,web,good,True,True
USER_00093,4cc8b35d0fddfea3,electrician,beginner,25,urban,pa,"[np.str_('ml'), np.str_('gu')]",2025-07-18T18:57:17.079861,95,20,14,night,ios,good,True,False
USER_00094,dacc655c0603f009,carpenter,expert,51,rural,ml,"[np.str_('gu'), np.str_('gu')]",2025-02-26T18:57:17.080093,21,36,48,night,web,poor,True,True
USER_00095,d4053ea2a6f3b152,carpenter,beginner,51,rural,te,[],2025-07-13T18:57:17.080287,96,23,55,evening,android,moderate,True,False
USER_00096,ede8f9610f12d9b9,carpenter,intermediate,44,semi-urban,ta,"[np.str_('ta'), np.str_('pa')]",2025-09-19T18:57:17.080521,96,43,47,night,android,moderate,True,True
USER_00097,2ea5d63bca1ddf05,plumber,beginner,39,urban,pa,"[np.str_('ta'), np.str_('en')]",2025-12-12T18:57:17.080752,76,41,26,morning,web,good,True,True
USER_00098,f2063cbc7523e7d9,electrician,advanced,26,rural,bn,"[np.str_('hi'), np.str_('bn')]",2025-12-31T18:57:17.080989,67,23,36,morning,web,moderate,True,True
USER_00099,791a1db4e32b2080,carpenter,intermediate,38,rural,hi,[np.str_('pa')],2025-11-07T18:57:17.081205,77,18,56,morning,web,moderate,True,True
USER_00100,2b1d7dd3c53e9c50,farmer,intermediate,64,urban,kn,[np.str_('gu')],2025-05-07T18:57:17.081423,8,34,36,night,ios,poor,True,False
USER_00101,55417e576c4d06a4,appliance_repair,advanced,62,rural,hi,"[np.str_('te'), np.str_('hi')]",2025-05-03T18:57:17.081659,20,15,48,evening,ios,good,True,False
USER_00102,87f04e978e90141c,appliance_repair,advanced,47,urban,mr,"[np.str_('gu'), np.str_('bn')]",2025-11-25T18:57:17.082027,40,5,10,evening,web,moderate,True,True
USER_00103,01c4926464aff3cf,carpenter,intermediate,55,urban,pa,[np.str_('bn')],2025-05-28T18:57:17.082662,51,16,44,night,web,moderate,True,True
USER_00104,9d040c8ad2044835,plumber,advanced,19,urban,kn,[],2025-07-30T18:57:17.083276,32,22,36,afternoon,android,moderate,True,False
USER_00105,12624ff0c651824c,farmer,intermediate,54,rural,ml,[np.str_('bn')],2025-10-28T18:57:17.084432,49,21,43,afternoon,web,moderate,True,False
USER_00106,49ac5aeb257fa7cb,appliance_repair,intermediate,54,urban,hi,"[np.str_('gu'), np.str_('en')]",2025-11-20T18:57:17.086052,29,29,47,night,ios,moderate,True,True
USER_00107,9295cc00d9913629,welder,beginner,29,rural,ml,[],2025-07-29T18:57:17.087017,39,19,17,night,android,poor,True,False
USER_00108,61fb32805cf2acf9,plumber,advanced,37,semi-urban,bn,[],2025-05-20T18:57:17.088520,36,5,33,evening,android,moderate,True,True
USER_00109,33a4e699ca122c55,farmer,intermediate,28,rural,pa,"[np.str_('ml'), np.str_('en')]",2025-08-19T18:57:17.091121,64,34,42,afternoon,ios,poor,True,True
USER_00110,fe63890ee8a21f3d,mason,intermediate,53,rural,hi,[np.str_('ml')],2026-01-03T18:57:17.093302,40,44,20,evening,android,good,True,True
USER_00111,25ebf3cb12f6da1a,electrician,expert,55,rural,hi,[np.str_('hi')],2025-11-13T18:57:17.093732,65,39,59,afternoon,android,good,True,False
USER_00112,37794f4c6da00fc8,welder,expert,25,urban,bn,[np.str_('te')],2025-08-22T18:57:17.094176,37,19,50,morning,web,poor,True,True
USER_00113,a70ad7f421691787,artisan,expert,40,rural,hi,"[np.str_('ta'), np.str_('hi')]",2025-02-26T18:57:17.094855,33,3,55,night,ios,moderate,True,False
USER_00114,44e4929609bbf7fa,homestay_owner,intermediate,39,rural,pa,[],2026-01-20T18:57:17.095351,6,13,51,evening,ios,good,True,False
USER_00115,23667da291336d2f,mobile_repair,advanced,32,rural,bn,[np.str_('te')],2025-08-28T18:57:17.095616,1,18,24,morning,android,good,True,True
USER_00116,a05dac983104971e,mobile_repair,expert,18,urban,ta,[],2026-01-27T18:57:17.095825,98,39,27,night,ios,good,True,True
USER_00117,af03d3fbe965d0f9,plumber,beginner,46,urban,ta,[np.str_('hi')],2025-04-15T18:57:17.096040,21,49,14,evening,android,moderate,True,True
USER_00118,2cb0c98de50fea2e,electrician,expert,64,semi-urban,bn,"[np.str_('bn'), np.str_('hi')]",2025-10-13T18:57:17.096273,61,23,37,morning,ios,moderate,True,False
USER_00119,d883e49cb80014e4,plumber,intermediate,20,semi-urban,hi,"[np.str_('kn'), np.str_('pa')]",2025-02-20T18:57:17.096506,81,37,39,evening,android,good,True,True
USER_00120,1cd590868d362ebf,mobile_repair,beginner,18,urban,bn,[],2026-01-30T18:57:17.096707,12,43,38,night,android,good,True,False
USER_00121,50e14f2895217dc8,artisan,expert,42,rural,pa,"[np.str_('te'), np.str_('mr')]",2026-01-04T18:57:17.096949,97,16,30,afternoon,web,good,True,True
USER_00122,f869acb249af6746,artisan,intermediate,18,rural,ml,[],2025-07-11T18:57:17.097149,19,10,15,evening,ios,good,True,True
USER_00123,b025820bf836ce6f,plumber,beginner,20,urban,ml,"[np.str_('pa'), np.str_('bn')]",2025-06-16T18:57:17.097377,26,6,9,evening,ios,moderate,True,True
USER_00124,c0bb03a797155b1a,electrician,intermediate,30,semi-urban,mr,[],2025-10-01T18:57:17.097571,77,29,41,afternoon,android,poor,True,False
USER_00125,871fac61ab23e388,welder,advanced,49,rural,en,"[np.str_('kn'), np.str_('pa')]",2025-06-04T18:57:17.097800,57,22,8,afternoon,web,poor,True,False
USER_00126,15e5600ad811a400,electrician,advanced,36,urban,hi,"[np.str_('gu'), np.str_('pa')]",2025-04-29T18:57:17.098033,54,11,21,afternoon,android,poor,True,True
USER_00127,13d567e8f1854ab0,farmer,advanced,26,urban,en,[],2025-08-01T18:57:17.098227,84,17,47,night,web,good,True,False
USER_00128,3c670aec4f5f5189,carpenter,intermediate,42,rural,kn,[np.str_('gu')],2026-01-24T18:57:17.098435,11,35,47,morning,ios,poor,True,True
USER_00129,39b97d26136f8e60,plumber,expert,60,urban,ml,"[np.str_('pa'), np.str_('bn')]",2025-11-24T18:57:17.098668,61,17,57,morning,web,poor,True,True
USER_00130,19cb99f74946e9bf,mobile_repair,advanced,51,semi-urban,en,[],2025-12-25T18:57:17.098859,9,9,19,evening,ios,good,True,False
USER_00131,55b5697c776501ca,plumber,intermediate,31,urban,pa,[np.str_('en')],2025-04-25T18:57:17.099068,3,36,37,afternoon,web,good,True,False
USER_00132,4e26e1e3e864f13b,plumber,expert,54,semi-urban,pa,"[np.str_('ml'), np.str_('bn')]",2025-09-29T18:57:17.099316,49,38,22,morning,web,good,True,True
USER_00133,d24d4c2a1367c7ab,homestay_owner,beginner,25,rural,gu,[],2025-08-06T18:57:17.099510,65,40,18,afternoon,web,good,True,False
USER_00134,8c5e8f70edc7e42f,appliance_repair,intermediate,58,rural,mr,"[np.str_('kn'), np.str_('mr')]",2025-09-08T18:57:17.099737,65,45,19,night,android,moderate,True,False
USER_00135,d22b9f04015177f7,mason,intermediate,37,urban,te,"[np.str_('pa'), np.str_('pa')]",2025-04-30T18:57:17.099966,86,40,29,afternoon,web,poor,True,False
USER_00136,74982abc526d8b8a,plumber,beginner,53,urban,hi,[],2025-07-15T18:57:17.100159,42,37,18,morning,ios,poor,True,False
USER_00137,06e441a697d93260,electrician,advanced,53,semi-urban,ml,"[np.str_('ml'), np.str_('kn')]",2025-08-16T18:57:17.100815,42,40,48,night,web,good,True,True
USER_00138,dfa9485807836d75,plumber,beginner,19,urban,te,[np.str_('te')],2025-02-23T18:57:17.103909,47,17,38,night,android,moderate,True,True
USER_00139,c029330c58e5736d,carpenter,advanced,49,rural,pa,[np.str_('gu')],2025-10-29T18:57:17.104521,67,32,39,evening,web,poor,True,False
USER_00140,122194945e438375,mobile_repair,beginner,54,semi-urban,mr,[np.str_('gu')],2025-07-17T18:57:17.104980,53,47,21,night,ios,good,True,True
USER_00141,b5967a3cc9f623bb,electrician,intermediate,22,urban,kn,[],2025-12-03T18:57:17.105402,36,39,55,afternoon,ios,good,True,False
USER_00142,8d9b5bbb6d09cdab,welder,intermediate,39,urban,hi,"[np.str_('pa'), np.str_('ml')]",2025-09-02T18:57:17.107334,25,39,8,night,android,moderate,True,True
USER_00143,fcd2723269f6747f,carpenter,expert,53,urban,kn,[],2025-03-19T18:57:17.107657,18,5,15,night,ios,good,True,True
USER_00144,8712cf7ede69ff6d,mobile_repair,advanced,29,urban,ml,[],2025-11-19T18:57:17.108308,20,42,8,afternoon,web,good,True,True
USER_00145,663638ad8a025725,mobile_repair,beginner,56,rural,hi,"[np.str_('bn'), np.str_('hi')]",2025-08-02T18:57:17.108928,48,47,9,afternoon,web,good,True,False
USER_00146,c083c3f8deae8492,farmer,beginner,41,semi-urban,te,"[np.str_('pa'), np.str_('en')]",2025-05-12T18:57:17.109323,40,29,25,morning,web,moderate,True,False
USER_00147,9d48af92d54b3933,mason,intermediate,32,semi-urban,kn,"[np.str_('en'), np.str_('kn')]",2025-06-08T18:57:17.109765,4,27,20,evening,android,moderate,True,True
USER_00148,a0cc7cc6da5a7539,mason,advanced,54,semi-urban,hi,[],2025-08-11T18:57:17.110011,74,16,35,morning,web,poor,True,False
USER_00149,88c379b850998d8a,appliance_repair,expert,35,semi-urban,kn,[],2025-06-20T18:57:17.110216,21,24,21,evening,web,good,True,True
USER_00150,c52365d8ac812dec,artisan,intermediate,60,semi-urban,bn,[np.str_('en')],2026-01-07T18:57:17.110427,53,45,40,night,android,poor,True,False
USER_00151,beff4cb80fa1831a,mobile_repair,expert,43,rural,kn,[],2025-12-20T18:57:17.110621,64,5,55,night,web,good,True,False
USER_00152,c4b28e5595591226,plumber,beginner,58,semi-urban,ta,"[np.str_('ml'), np.str_('bn')]",2025-12-14T18:57:17.110855,69,3,48,afternoon,ios,good,True,False
USER_00153,ed64b3cc7de67990,plumber,beginner,33,rural,mr,[np.str_('ta')],2025-07-09T18:57:17.111066,77,10,38,evening,ios,good,True,False
USER_00154,a489739195ef93c0,electrician,beginner,35,rural,te,[np.str_('ml')],2025-07-28T18:57:17.111277,86,23,39,night,ios,poor,True,True
USER_00155,f87b99ad99d8d34c,carpenter,expert,37,rural,hi,[np.str_('ta')],2025-12-05T18:57:17.111494,38,45,46,night,android,moderate,True,False
USER_00156,b77e3e2993154c3e,carpenter,advanced,35,urban,hi,[np.str_('gu')],2025-03-11T18:57:17.111704,5,6,20,morning,web,poor,True,True
USER_00157,03e0f74869af33ec,electrician,expert,36,semi-urban,pa,[np.str_('te')],2025-10-01T18:57:17.111920,99,5,14,evening,android,poor,True,False
USER_00158,93b8385562d28e56,mason,advanced,62,rural,te,[np.str_('en')],2025-09-13T18:57:17.112130,88,12,57,evening,ios,poor,True,False
USER_00159,f51a3df479fd16c5,homestay_owner,expert,58,rural,en,[],2025-05-24T18:57:17.112322,75,23,44,night,android,moderate,True,False
USER_00160,7f9bc0fcfebc7a6e,homestay_owner,intermediate,58,rural,hi,[np.str_('bn')],2025-10-02T18:57:17.112534,35,39,49,afternoon,android,moderate,True,True
USER_00161,53ea06a7f7866ba7,electrician,advanced,46,semi-urban,hi,[np.str_('hi')],2025-07-10T18:57:17.112745,73,12,43,night,android,good,True,True
USER_00162,c070ebcf0db2d926,mobile_repair,intermediate,23,urban,hi,[],2025-07-12T18:57:17.112940,89,43,51,night,ios,good,True,False
USER_00163,5f5c0f4da3ccbba4,farmer,advanced,23,rural,gu,"[np.str_('te'), np.str_('te')]",2025-11-21T18:57:17.113167,50,40,43,afternoon,android,moderate,True,False
USER_00164,b59ec73f64d57cbf,plumber,intermediate,54,rural,bn,[],2026-02-05T18:57:17.113362,82,47,38,night,web,good,True,True
USER_00165,000a94da2043b3d2,artisan,advanced,64,urban,gu,"[np.str_('ml'), np.str_('hi')]",2025-11-19T18:57:17.113588,64,31,26,evening,web,good,True,True
USER_00166,453027b401eb87e9,homestay_owner,expert,22,semi-urban,ta,[],2025-08-27T18:57:17.113785,32,38,39,evening,android,moderate,True,True
USER_00167,895a86f7c4ca0282,electrician,expert,47,semi-urban,ml,[],2025-09-08T18:57:17.113975,20,13,6,evening,ios,moderate,True,True
USER_00168,d7702d55e3ceeee3,mason,expert,54,semi-urban,en,"[np.str_('hi'), np.str_('hi')]",2025-04-19T18:57:17.114202,75,13,48,afternoon,android,moderate,True,False
USER_00169,023efe0598e28858,electrician,beginner,37,rural,gu,[np.str_('te')],2025-10-23T18:57:17.114414,17,4,10,night,android,moderate,True,True
USER_00170,e5a75c8174cbc406,carpenter,advanced,32,urban,ta,[np.str_('mr')],2025-04-26T18:57:17.114622,70,17,16,morning,web,poor,True,True
